ecoregion,genus,model,loss_function,model_loss,accuracy,tnr
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,WLR,Focal,WLR_Focal,0.06708820383342197,0.5
Deccan_thorn_scrub_forests,Macaranga,WLR,Focal,WLR_Focal,0.0,0.5
Khathiar_Gir_dry_deciduous_forests,Macaranga,WLR,Focal,WLR_Focal,0.16788703445022593,0.5
Malabar_Coast_moist_forests,Macaranga,WLR,Focal,WLR_Focal,0.7232177961519206,0.5
North_Western_Ghats_montane_rain_forests,Macaranga,WLR,Focal,WLR_Focal,0.6711963038213226,0.5
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,WLR,Focal,WLR_Focal,0.23005066739374447,0.5
South_Western_Ghats_moist_deciduous_forests,Macaranga,WLR,Focal,WLR_Focal,0.5477625536037558,0.5
South_Western_Ghats_montane_rain_forests,Macaranga,WLR,Focal,WLR_Focal,1.0,0.5
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,WLR,Focal,WLR_Focal,0.1304904864952322,0.5
Aravalli_west_thorn_scrub_forests,Macaranga,WLR,Tversky,WLR_Tversky,0.3393048092513401,0.5
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,WLR,Tversky,WLR_Tversky,0.09669301706850537,0.5
Deccan_thorn_scrub_forests,Macaranga,WLR,Tversky,WLR_Tversky,0.0,0.5
Khathiar_Gir_dry_deciduous_forests,Macaranga,WLR,Tversky,WLR_Tversky,0.2555795902451171,0.5
Malabar_Coast_moist_forests,Macaranga,WLR,Tversky,WLR_Tversky,0.6863385655829025,0.5
North_Western_Ghats_montane_rain_forests,Macaranga,WLR,Tversky,WLR_Tversky,0.4794034508326752,0.5
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,WLR,Tversky,WLR_Tversky,0.24766407978866814,0.5
South_Western_Ghats_moist_deciduous_forests,Macaranga,WLR,Tversky,WLR_Tversky,0.7835061999832269,0.5
South_Western_Ghats_montane_rain_forests,Macaranga,WLR,Tversky,WLR_Tversky,1.0,0.5
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,WLR,Tversky,WLR_Tversky,0.19224117745371985,0.5
